,B,CNT,DCT,EC,FIB,IC,Lymphoid,Myeloid,PC,PEC,POD,PT,TAL
PASS_Multiple_sclerosis,-0.185429853,0.484183458,0.25809652,0.598260551,3.193132434,0.886419342,4.066075797,2.121750028,-0.116375174,1.668062691,2.000643683,1.557113996,1.383394067
PASS_BreastCancer,0.19847877,0.845698123,0.694902496,1.060748816,1.270426131,0.999821878,1.300666544,0.846547868,0.822232586,0.54192189,1.542939428,1.173090109,0.631222453
PASS_Schizophrenia,1.167470334,0.265779465,0.312006699,0.26383971,-0.213974127,0.302740886,1.083981346,0.763355526,0.836657442,-0.449632591,0.681684088,0.86147142,-0.078433186
PASS_Autism,0.769699492,0.068752221,0.809703611,0.263303776,-0.177431452,0.205246766,-0.666427511,0.244014163,-0.620391188,-1.148976629,0.337984598,0.3208523,0.402735432
PASS_Type_2_Diabetes,-0.008490426,-0.035157443,0.301272263,0.243549015,0.27013812,0.600402474,-0.07411836,0.673043798,0.564154414,0.204727364,1.759241651,0.236505822,-0.264988576
PASS_Type_1_Diabetes,0.963089335,0.602268932,0.065176504,0.602848627,0.899819855,0.768904601,3.555619356,1.195725037,1.394827015,0.327646795,0.857302971,2.446656925,0.76976345
PASS_ProstateCancer,0.182747542,0.509386878,-0.021619341,3.325730877,2.355375136,0.477120839,1.962755105,0.597054524,0.056570734,2.013513531,3.143300074,0.98100196,0.275215294
PASS_eGFR_creatinine,1.349653838,0.85507163,0.231066742,1.231761467,2.806497867,1.540680625,2.067417489,3.21874767,0.416509242,1.24547332,2.450004264,5.36233979,1.254288684
PASS_Crohns_Disease,0.873698985,0.54540382,0.190564644,0.806821773,1.246250312,0.049272899,1.166032696,0.031653939,0.055477967,0.343086059,2.452957017,2.673527908,0.72163703
PASS_Coronary_Artery_Disease,0.833725062,-0.668064439,-0.988236523,1.493426928,2.50720628,0.369090015,2.436936734,4.805395054,0.104010926,1.060297386,0.851865731,2.382461679,0.187137389
PASS_Bipolar_Disorder,-0.85479093,0.927820919,1.222507578,0.176009745,0.922639037,0.151888322,2.241643249,0.250267217,0.894792343,-0.561527677,0.886351595,1.470143729,1.001046182
PASS_IBD,0.077512588,0.272700256,-0.075104764,0.661303885,1.368874906,1.91658863,1.88562352,0.37801232,0.309978271,0.931693171,3.031902957,3.409610482,0.613638253